mi1_root_id,postion_x,postion_y,postion_z,m6_x,m6_y,m6_z,theta,phi,hemisphere
720575940644858916,299096,172252,161600,308518,180450,177751,47.3,-139,L
720575940644873160,225956,196248,249960,238943,200145,251300,49,-5.9,L
720575940644874020,260296,157420,203440,281825,165966,216782,79.5,-75.8,L
720575940645271588,217280,192536,232120,241463,202449,240943,46.5,-17.2,L
720575940645488692,302604,370056,190720,323866,357061,199766,-59,-38.9,L
720575940645761902,312624,353116,164600,331962,342986,177068,-54.9,-83,L
720575940645823028,212072,209016,213600,241413,211237,224732,42.2,-34.3,L
720575940645907223,203156,241412,217240,233300,237268,228931,29.1,-30.1,L
720575940645965847,252712,306776,157160,275532,297563,179597,-6.5,-71.9,L
720575940646237550,249796,171556,195000,273047,179588,211304,66.3,-66,L
720575940646915875,209148,230944,197600,243666,230991,211525,31.2,-51.9,L
720575940647381556,212240,213272,202880,243672,218734,216784,38.9,-45.9,L
720575940647731332,277992,151676,194880,293959,163475,206989,72.1,-138.1,L
720575940647959172,217564,241276,181440,249219,242041,198691,25,-62.7,L
720575940647992708,303736,201956,143160,315860,207039,158123,24.8,-149,L
720575940649409401,320064,316700,133120,333503,310614,150821,-30.7,-115.5,L
720575940650356857,285136,300352,136760,305272,296014,156875,-13.5,-101.6,L
720575940650668153,245240,345760,218520,268893,328981,228816,-15.1,-25.8,L
720575940650738297,267148,226056,150480,283343,229211,168995,23,-108.7,L
720575940651997686,254124,184144,216760,261737,184453,220712,61.5,-44.9,L
720575940652026358,209920,305900,239120,241564,299383,247718,6,-13.4,L
720575940652859894,284292,329920,152920,307658,320674,171829,-28.3,-79.8,L
720575940653538294,271028,159036,232160,274899,162165,234240,75.9,-17.5,L
720575940654696097,255624,199996,166160,271766,207918,185917,38.9,-92.6,L
720575940655966881,230060,326212,198840,261824,312459,211169,-8.5,-40.6,L
720575940659700609,243960,200920,173960,264874,209944,192607,40.2,-82.7,L
720575940660447105,232820,326484,254200,252276,318076,257175,-1.5,-6.3,L
